Report #,Title,Report Type,Category,Severity,Date Discovered,Date Reported,Date Answered,Date Resolved,LCN,Part Number,Serial Number
A2UN-1-16213831,Update 2ZCH61120-0006 Serial Number for 2AF:24 (10-5012),DQIM,CAT II,Low,5/22/13 13:47,5/22/13 14:23,2/12/14 19:49,7/25/14 8:29,F4232080,2ZCH61120-0006,2059
A2UN-1-16282073,Update 2GRV03330-0021 Serial Number for 2AF:21 (10-5009),DQIM,CAT II,Low,5/23/13 13:51,5/23/13 14:32,9/23/13 18:18,8/6/14 6:52,A2752010,2GRV03330-0021,189
A2UN-1-16732791,Update Flight Hours for 2AF:21 (10-5009) Flight #6,DQIM,CAT II,Low,6/12/13 15:40,6/12/13 16:10,9/9/14 21:22,9/9/14 9:27,DQIM,2MZH08010-0034,0
A2UN-1-16986961,Update 2ZCH61030-0005 Serial Number for 2AF:0022,DQIM,CAT II,Low,6/18/13 17:30,6/18/13 19:56,8/20/13 21:28,8/6/14 6:48,A4232060,2ZCH61030-0005,2067
A2UN-1-17160569,"Update 2ZKH75011-0001 Serial Number for 2BF:26 (VK06, 168724)",DQIM,CAT II,Low,6/26/13 17:00,6/26/13 17:50,10/30/13 22:02,8/6/14 6:46,A4220033,2ZKH75011-0001,434
A2UN-1-17206534,Update 2GFV00901-0011 Serial Number for 2AF:29 (10-5017),DQIM,CAT II,Low,6/28/13 13:39,6/28/13 13:53,9/5/13 16:29,8/6/14 6:43,A2827099,2GFV00901-0011,535
A2UN-1-17207168,Update 2GFV00802-0002 Serial Number for 2AF:29 (10-5017),DQIM,CAT II,Low,6/28/13 13:53,6/28/13 14:01,9/5/13 16:34,8/6/14 6:42,A2827100,2GFV00802-0002,713
A2UN-1-17675431,Update 2CSH10199-3039 Serial Number for 2AF:0024,DQIM,CAT II,Low,7/22/13 17:33,7/24/13 16:51,8/7/13 21:14,0,A5232112,2CSH10199-3039,0
A2UN-1-17747091,Update 2ZKH77031-0002 Serial Number for 2BF:0025,DQIM,CAT II,Low,7/23/13 17:43,7/25/13 17:36,8/21/13 21:21,8/6/14 1:50,A9472032,2ZKH77031-0002,74
A2UN-1-17796421,Update 2ZKH55100-0004 Serial Number for 2BF:0025,DQIM,CAT II,Low,7/24/13 16:47,7/25/13 17:24,8/21/13 21:19,8/6/14 1:48,A9472025,2ZKH55100-0004,2087
A2UN-1-18077471,BK3 VAVBN Serial Number Discrepancy,DQIM,CAT I,Low,8/1/13 14:36,8/5/13 20:15,8/6/13 19:08,8/6/14 1:43,E8631001,168716,0
A2UN-1-18335781,Update 2GVH00001-0009 Serial Number for 2AF:27 (10-5015),DQIM,CAT II,Low,8/13/13 20:04,8/13/13 20:42,4/1/14 20:33,8/22/14 3:56,A4610018,2GVH00001-0009,0
A2UN-1-18520491,Update 2CSH01001-3003 Serial Number for 2CF:0006,DQIM,CAT II,Low,8/20/13 17:43,8/20/13 20:02,2/12/14 19:53,8/19/14 3:11,A5211117,2CSH01001-3003,0
A2UN-1-18550311,Update 2CEH00056-0004 Serial Number for 2BF:32 (VK12),DQIM,CAT II,Low,8/21/13 12:51,8/21/13 13:03,11/13/13 23:33,8/6/14 1:29,A2432011,2CEH00056-0004,0
A2UN-1-18579069,Update 2GFV00601-0011 Serial Number for 2AF:0011,DQIM,CAT II,Low,8/22/13 11:14,8/22/13 20:17,9/19/13 19:26,8/6/14 1:27,A2846023,2GFV00601-0011,0
A2UN-1-18634111,Update 2GFV00602-0046 Serial Number for 2BF:0015,DQIM,CAT II,Low,8/23/13 18:39,8/27/13 20:32,12/3/13 19:53,8/4/14 7:51,A2844011,2GFV00602-0046,0
A2UN-1-18745589,Update 2ZKH45060-0006 Serial Number for 2BF:0025,DQIM,CAT II,Low,8/28/13 20:18,8/29/13 15:22,11/15/13 18:05,8/4/14 7:37,A4822062,2ZKH45060-0006,92
A2UN-1-18994371,Update 2WSH53202-0011 Serial Number for 2AF:29 (10-5017),DQIM,CAT II,Low,9/10/13 20:44,9/10/13 20:57,2/21/14 18:53,8/19/14 3:03,A5721012,2WSH53202-0011,55
A2UN-1-19270881,Update 2FKH51400-0002 Serial Number for 2BF28 (VK08),DQIM,CAT II,Low,9/18/13 19:16,9/18/13 19:35,9/20/13 13:51,8/4/14 7:36,A5351310,2FKH51400-0002,0
A2UN-1-19278625,Update 2FSH20238-0005 Serial Number for 2AF29 (10-5017),DQIM,CAT II,Low,9/18/13 19:46,9/18/13 19:58,2/21/14 18:41,5/28/14 12:19,A5312024,2FSH20238-0005,0
A2UN-1-19278979,Update 2WSH73104-0002 Serial Number for 2AF29 (10-5017),DQIM,CAT II,Low,9/18/13 19:58,9/18/13 20:08,2/24/14 16:28,5/28/14 12:20,A5712020,2WSH73104-0002,20228649
A2UN-1-19359241,Update 2ZKH45030-0003 Serial Number for 2BF:18 (VM13),DQIM,CAT II,Low,9/20/13 16:52,9/20/13 17:03,3/29/14 16:25,3/29/14 4:25,A4822053,2ZKH45030-0003,408
A2UN-1-19555692,"Update 2AHV00025-0005, serial number for 2BF:0006 (168057)",DQIM,CAT II,High,9/26/13 22:35,9/26/13 22:43,11/13/13 20:18,5/28/14 12:21,A8694030,2AHV00025-0005,23
A2UN-1-19557179,"Update 2CEH00006-0008, serial number for 2AF:0028 (10-5016)",DQIM,CAT II,High,9/26/13 22:51,9/26/13 22:54,12/10/13 20:13,5/28/14 12:22,A2432010,2CEH00006-0008,0
A2UN-1-19668541,Update 2GHH41005-0003 Serial Number for 2AF22 (10-5010),DQIM,CAT II,Low,10/1/13 13:54,10/1/13 14:15,7/1/14 16:37,9/8/14 6:02,A9920018,2GHH41005-0003,70
A2UN-1-19671671,Update 2ZKH63020-0006 Serial Number for 2AN:2 (F-002),DQIM,CAT II,Low,10/1/13 15:23,10/1/13 15:38,8/27/14 19:10,10/20/14 2:20,A9911012,2ZKH63020-0006,1228
A2UN-1-19780579,Update 2CTV00048-0001 Serial Number for 2BF:31 (VK11),DQIM,CAT II,Low,10/3/13 18:15,10/3/13 18:29,6/13/14 15:29,8/22/14 3:42,A2181020,2CTV00048-0001,66
A2UN-1-20164101,Update 2ZKH85130-0005 Serial Number for 2BF:26 (VK06),DQIM,CAT II,Low,10/15/13 20:44,10/15/13 21:02,11/14/13 22:30,5/28/14 12:59,A4220023,2ZKH85130-0005,1269
A2UN-1-20170591,Duplicate SN on BF20 and AF35,DQIM,CAT II,High,10/15/13 23:29,10/15/13 23:37,12/10/13 20:05,5/28/14 1:01,A2116010,1153332-4-1,115
A2UN-1-20230031,Update 2CEH00056-0004 Serial Number for 2AF:0030,DQIM,CAT II,Low,10/17/13 11:36,10/17/13 16:07,3/29/14 16:22,3/29/14 4:22,A2432011,2CEH00056-0004,0
A2UN-1-20290531,Request Yuma Admins to return EEL D07217CTV00121-000900095 back to LDM for SN Correction.,DQIM,CAT II,High,10/18/13 14:15,10/18/13 14:28,11/14/13 22:57,5/28/14 1:02,A2116010,1153332-4-1,95
A2UN-1-20456401,BK2 parts require manufacture date update prior to ALIS 1.0.3 migration,DQIM,CAT I,Medium,10/23/13 23:23,10/23/13 23:31,7/25/14 15:18,10/1/14 5:27,A,2MZH28010-0028,168316
A2UN-1-20564049,Update Serial Numbers for 2BF:0012,DQIM,CAT II,Low,10/28/13 14:44,10/28/13 14:51,4/1/14 20:29,5/28/14 1:05,A9472019,2ZKH55110-0003,20060
A2UN-1-20564171,Update Serial Numbers for 2BF:0012,DQIM,CAT II,Low,10/28/13 14:52,10/28/13 14:55,4/1/14 20:27,5/28/14 1:07,A9472021,2ZKH55080-0004,2036
A2UN-1-20578841,Update Serial Numbers for 2BF:0012,DQIM,CAT II,Low,10/28/13 17:07,10/28/13 17:10,3/26/14 13:24,5/28/14 1:08,A9472025,2ZKH55100-0004,2037
A2UN-1-20580057,Update Serial Numbers for 2AF:0031,DQIM,CAT II,Low,10/28/13 17:24,10/28/13 17:29,2/24/14 17:18,5/28/14 1:09,A4620011,2FVH00001-0005,0
A2UN-1-20580509,Update Serial Numbers for 2BF:0032,DQIM,CAT II,Low,10/28/13 17:36,10/28/13 17:48,11/14/13 22:18,5/28/14 1:09,A5511319101,2ZKH41010-0001,184
A2UN-1-20582481,Update Serial Numbers for 2BF:0032,DQIM,CAT II,Low,10/28/13 17:48,10/28/13 17:51,11/14/13 22:11,5/28/14 1:24,A5512320102,2ZKH41010-0001,185
A2UN-1-20582733,Update Serial Numbers for 2BF:0029,DQIM,CAT II,Low,10/28/13 17:54,10/28/13 17:58,2/24/14 17:21,5/28/14 1:25,A2191040,2CTV00056-0002,223
A2UN-1-20751341,Update 2ZKH41113-0004 Serial Number for 2BF27 (VK07),DQIM,CAT II,Low,10/31/13 15:35,10/31/13 15:45,12/16/13 21:18,5/28/14 1:26,A4821031,2ZKH41113-0004,171
A2UN-1-20769651,Update 2ZKH41770-0007 Serial Number for 2BK:3 (ZM137),DQIM,CAT II,Low,10/31/13 21:08,10/31/13 21:36,3/29/14 16:21,3/29/14 4:21,A4811023,2ZKH41770-0007,693
A2UN-1-21121429,Update 2GFV00901-0013 Serial Number for 2BF22 (VK02),DQIM,CAT II,Low,11/13/13 20:24,11/13/13 20:42,3/21/14 17:12,5/28/14 1:27,A2827018,2GFV00901-0013 / 2030038-102,1158
A2UN-1-21216171,Update 2VSH31217-0003 Serial Number for 2BF:21 (VK01),DQIM,CAT II,Low,11/15/13 19:50,11/15/13 20:10,2/26/14 20:00,5/28/14 1:28,A5275149,2VSH31217-0003,23
A2UN-1-21485171,Update 2GHH42019-0002 Serial Number for 2AF:18 (09-5005),DQIM,CAT II,Low,11/21/13 18:42,11/21/13 19:02,4/1/14 19:05,8/22/14 3:40,A3231015,2GHH42019-0002,0
A2UN-1-21728881,Update 2GDV00025-0002 Serial Number for 2BF:12 (VM07),DQIM,CAT II,Low,12/2/13 21:31,12/2/13 21:47,1/23/14 16:23,5/28/14 1:31,A2618060,2GDV00025-0002,0
A2UN-1-21765011,Request DQIM to change SN 2073 to 2072 for VPN 825R359G03 on BF20,DQIM,CAT II,High,12/3/13 17:04,12/3/13 17:10,1/16/14 22:43,5/28/14 1:32,A9472025,825R359G03,2073
A2UN-1-21827351,PMD not recording Propulsion HRCs Issues on Multiple Aircraft,DQIM,CAT II,Medium,12/4/13 17:45,12/4/13 18:06,1/14/14 21:48,9/2/14 9:49,A45,0,0
A2UN-1-21871831,Update Serial Number on 2AF:18,DQIM,CAT II,High,12/5/13 16:48,12/5/13 17:18,2/24/14 18:39,5/28/14 1:33,A4236020,2ZCH66500-0418,3050
A2UN-1-21980681,Update 2ZKH41113-0004 Serial Number for 2BF23 (VK03),DQIM,CAT II,Low,12/10/13 15:29,12/10/13 15:48,3/21/14 15:10,5/28/14 1:37,A4821030,2ZKH41113-0004,155
A2UN-1-22209451,Update 2GHH42008-0003 Serial Number for 2BF:30 (VK10),DQIM,CAT II,Low,12/17/13 16:56,12/17/13 17:09,2/24/14 18:59,5/28/14 1:55,A2911016,2GHH42008-0003,0
A2UN-1-22224901,Update 2ZKH63010 Part Number for 2BF30 (VK10),DQIM,CAT II,Low,12/17/13 20:28,12/17/13 20:53,4/2/14 22:57,5/28/14 1:57,A9911016,2ZKH63010-0006,268
A2UN-1-22233502,Update Serial Number on 2AF:19,DQIM,CAT II,High,12/17/13 21:57,12/17/13 22:23,5/1/14 16:20,5/29/14 2:27,A9411011,2CAH60100-0011,0
A2UN-1-22791591,Update 2CTV00048-0001 Serial Number for 2BF:28 (VK08),DQIM,CAT II,Low,1/8/14 20:16,1/8/14 20:33,3/21/14 15:12,5/28/14 1:59,A2181020,2CTV00048-0001,75
A2UN-1-22791720,Duplicate SN on BK2 and AF37,DQIM,CAT II,High,1/8/14 20:20,1/8/14 20:50,2/27/14 18:22,5/28/14 2:01,A4610019,2GHV00001-0009,0
A2UN-1-22796392,Duplicate SN on AF19 and AF37.,DQIM,CAT II,High,1/8/14 21:09,1/8/14 21:37,1/23/14 16:52,5/28/14 2:02,A5256334,2WSH53416-0010,0
A2UN-1-23006051,Update 2GFV00602-0072 Serial Number for 2AF:34 (11-5023),DQIM,CAT II,Low,1/14/14 21:01,1/14/14 21:14,6/10/14 15:27,8/22/14 3:34,A2843022,2GFV00602-0072,55
A2UN-1-23222369,Update 2WRV00350-0002 Serial Number for 2BF:23 (VK03),DQIM,CAT II,Low,1/20/14 14:16,1/20/14 14:31,3/21/14 15:13,5/28/14 2:03,A2782014,2WRV00350-0002,149
A2UN-1-23223093,Update 2ZKH77021-0002 Serial Number for 2AF:28 (10-5016),DQIM,CAT II,Low,1/20/14 14:33,1/20/14 15:29,2/20/14 20:28,2/20/14 8:28,A9472031,2ZKH77021-0002,10
A2UN-1-23359139,Update 2ZKH43810-0003 Serial Number for 2AF:33 (11-5022),DQIM,CAT II,Low,1/23/14 16:05,1/23/14 16:19,7/2/14 19:54,9/8/14 5:46,A4821028,2ZKH43810-0003,0
A2UN-1-23374641,Update 2GFV00302-0004 Serial Number for 2AF:21 (10-5009),DQIM,CAT II,Low,1/23/14 20:01,1/23/14 20:17,7/24/14 17:04,10/1/14 5:26,A2824080,2GFV00302-0004,60
A2UN-1-23377776,Update 2ZKH85120-0002 Serial Number for 2BF:18 (VM13),DQIM,CAT II,Low,1/23/14 20:20,1/23/14 20:34,8/7/14 20:33,8/7/14 8:42,A4220017,2ZKH85120-0002,1005
A2UN-1-23425874,Update 2CTV00048-0001 Serial Number for 2BF:26 (VK06),DQIM,CAT II,Low,1/24/14 20:08,1/24/14 20:26,2/19/14 20:05,5/28/14 2:04,A2181020,2CTV00048-0001,79
A2UN-1-23428881,Update 2ZKH45030-0003 Serial Number for 2CF:7 (NJ102),DQIM,CAT II,Low,1/24/14 20:47,1/24/14 20:58,2/21/14 15:36,5/28/14 2:05,A4822053,2ZKH45030-0003,410
A2UN-1-23615519,Update 2CTV00038-0003 Serial Number for 2BF:30 (VK10),DQIM,CAT II,Low,1/30/14 22:33,1/30/14 22:43,3/6/14 16:22,5/28/14 2:06,A2140011,2CTV00038-0003,75
A2UN-1-23615803,Update 2GFV00301-0002 Serial Number for 2BF:12 (VM07),DQIM,CAT II,Low,1/30/14 22:50,1/30/14 23:09,2/21/14 15:39,5/28/14 2:07,A2823011,2GFV00301-0002,204
A2UN-1-23850751,Update 2GFV00602-0074 Serial Number for 2AF:35 (11-5024),DQIM,CAT II,Low,2/5/14 14:19,2/5/14 14:33,7/9/14 18:55,9/22/14 6:47,A2843021,2GFV00602-0074,74
A2UN-1-24022591,Update 2ZAV44703-0005 Serial Number for 2AF:34 (11-5023),DQIM,CAT II,Low,2/7/14 15:33,2/7/14 15:52,2/25/14 20:10,5/28/14 2:08,A9431013,2ZAV44703-0005,54
A2UN-1-24108291,Update 2ATV20242-0001 Serial Number for 2CF:9 (NJ103),DQIM,CAT II,Low,2/10/14 20:50,2/10/14 21:12,3/26/14 13:30,5/28/14 2:09,A2118030,2ATV20242-0001,126
A2UN-1-24113511,Update 2FRV14012-0008 Serial Number for 2AF:23 (10-5011),DQIM,CAT II,Low,2/10/14 21:24,2/10/14 22:08,7/1/14 16:39,9/8/14 5:42,A3420013,2FRV14012-0008,160
A2UN-1-24138181,Update 2GDV00002-0004 Serial Number for 2AF:28 (10-5016),DQIM,CAT II,Low,2/11/14 15:30,2/11/14 15:46,2/21/14 18:46,5/28/14 2:10,A2611012,2GDV00002-0004,0
A2UN-1-24138666,Update 2CHH51627-0005 Serial Number for 2BF:27 (VK07),DQIM,CAT II,Low,2/11/14 15:49,2/11/14 16:00,3/21/14 15:47,5/28/14 2:11,A9422056,2CHH51627-0005,36
A2UN-1-24287951,Update 2VSH41215-0001 Serial Number for 2AF:37 (11-5026),DQIM,CAT II,Low,2/17/14 16:44,2/17/14 17:01,2/21/14 18:42,5/28/14 2:12,A5255335,2VSH41215-0001,51
A2UN-1-24395571,Update 2CTV00048-0001 Serial Number for 2BF:33 (VK13),DQIM,CAT II,Low,2/19/14 18:30,2/19/14 18:45,3/6/14 16:20,5/28/14 2:13,A2181020,2CTV00048-0001,80
A2UN-1-24510566,Update JS30682 Serial Number for 2BF:24,DQIM,CAT II,High,2/21/14 15:31,2/21/14 15:37,3/21/14 15:40,5/28/14 2:14,C8610100,JS30682,0
A2UN-1-24520661,Update 2ZKH63020-0006 Serial Number for 2AF:34 (11-5023),DQIM,CAT II,Low,2/21/14 16:29,2/21/14 16:47,3/25/14 19:00,5/28/14 2:15,A9911012,2ZKH63020-0006,5206
A2UN-1-24533601,Update 2GDV00006-0002 Serial Number for 2CF:10 (NJ100) - A2614030,DQIM,CAT II,Low,2/21/14 19:21,2/21/14 19:35,2/27/14 19:45,5/28/14 2:16,A2614030,2GDV00006-0002,0
A2UN-1-24533991,Update 2GDV00006-0002 Serial Number for 2CF:10 (NJ100) - A2614031,DQIM,CAT II,Low,2/21/14 19:35,2/21/14 19:42,2/27/14 19:43,5/28/14 2:17,A2614031,2GDV00006-0002,0
A2UN-1-24713271,Update 2CCH73960-0003 Serial Number for 2AN:2 (F-002),DQIM,CAT II,Low,2/26/14 20:27,2/26/14 20:46,3/11/14 19:18,5/28/14 2:17,A3343022,2CCH73960-0003,43
A2UN-1-25116824,Update 2CTV00056-0002 Serial Number for 2BF:26 (VK06),DQIM,CAT II,Low,3/11/14 18:32,3/11/14 18:41,3/21/14 15:26,5/28/14 2:19,A2191040,2CTV00056-0002,209
A2UN-1-25310023,Update 2GHH41009-0003 Serial Number for 2AF:25 (10-5013),DQIM,CAT II,Low,3/18/14 14:12,3/18/14 14:38,3/25/14 22:28,5/28/14 2:20,A9453022,2GHH41009-0003,84
A2UN-1-25319791,Update 2CTV00227-0005 Serial Number for 2AF:37 (11-5026),DQIM,CAT II,Low,3/18/14 17:13,3/18/14 17:37,3/25/14 22:27,5/28/14 2:20,A2191042,2CTV00227-0005,0
A2UN-1-25325201,Update 2VSH45101-0008 Serial Number for 2AF:39 (11-5028),DQIM,CAT II,Low,3/18/14 18:20,3/18/14 18:37,3/25/14 22:24,5/28/14 2:21,A5541011,2VSH45101-0008,0
A2UN-1-25332775,Update 2CTV00120-0003 Serial Number for 2BK:0001 (168315),DQIM,CAT II,High,3/18/14 20:29,3/18/14 20:41,3/25/14 22:22,5/28/14 2:22,A2116020,2CTV00120-0003,175
A2UN-1-25536641,"(Interim Instruction) Guidance for Electronic Equipment Log (EEL) ARs, pending SOI updates",DQIM,CAT II,High,3/24/14 19:38,3/24/14 19:39,8/28/14 19:44,8/28/14 8:31,A,0,0
A2UN-1-25649881,Update 2FVH00001-0005 Serial Number for 2AF:41 (11-5030),DQIM,CAT II,Low,3/26/14 20:15,3/26/14 20:35,5/21/14 3:40,5/28/14 2:23,A4620010,2FVH00001-0005,0
A2UN-1-25653476,Update 2GHH41020-0004 Serial Number for 2AF:41 (11-5030),DQIM,CAT II,Low,3/26/14 20:47,3/26/14 21:00,5/21/14 3:38,5/28/14 2:24,A2115010,2GHH41020-0004,0
A2UN-1-25707171,Update 2WSH62021-0016 Serial Number for 2AF:41 (11-5030),DQIM,CAT II,Low,3/27/14 18:24,3/27/14 18:38,7/24/14 17:02,10/1/14 5:06,A5233101,2WSH62021-0016,0
A2UN-1-25710500,Update 2ZKH43770-0006 Serial Number for 2CF:5 (2CF-0005),DQIM,CAT II,High,3/27/14 20:30,3/27/14 20:36,3/29/14 16:02,5/30/14 6:50,A4821021,2ZKH43770-0006,237
A2UN-1-25712965,Update 2GFV00902-0017 Serial Number for 2BF:32 (168730),DQIM,CAT II,High,3/27/14 20:39,3/27/14 20:45,6/18/14 15:53,8/20/14 3:04,A2826015,2GFV00902-0017,2739
A2UN-1-25999341,Update 2GHH43016-0001 Serial Number for 2BF:36 (VM13),DQIM,CAT II,Low,4/3/14 14:13,4/3/14 14:45,5/8/14 18:43,5/28/14 2:25,A2913012,2GHH43016-0001,332
A2UN-1-26038334,Part Number-LCN-Effectivity update in 1.03 FOR JSFPN 2ZCH62760-0004 PN 359510-02-03,DQIM,CAT I,Low,4/4/14 14:10,4/4/14 14:25,4/10/14 17:32,5/28/14 2:26,A4232080,359510-02-03,0
A2UN-1-26127918,Update Serial Number on 2BF:24,DQIM,CAT II,High,4/8/14 15:17,4/8/14 15:28,5/8/14 18:42,5/28/14 2:27,A,2ZKH33110-0012,10057
A2UN-1-26175291,Update 2FCH56714-0010 Serial Number for 2AF:44 (11-5033),DQIM,CAT II,Low,4/9/14 17:34,4/9/14 17:48,7/9/14 19:05,9/22/14 6:16,A9512013,2FCH56714-0010,13476
A2UN-1-26219811,EEL Request for PN 2GHH43012-0002,DQIM,CAT II,Medium,4/10/14 17:44,4/10/14 17:53,4/10/14 20:08,5/28/14 2:28,A,2GHH43012-0002,0
A2UN-1-26537653,"Serial Number udpate on 2CF:0010/168841 for PN: 2WSH64065-0015, SN: AA00026182",DQIM,CAT II,High,4/18/14 21:37,4/18/14 21:41,5/1/14 20:55,5/28/14 2:29,A5234151,2WSH64065-0015,0
A2UN-1-26540152,"Serial Number udpate on 2AF:0029/10-5017 for PN: 2ZKH77012-0002 / 3121192-102, SN: 00043",DQIM,CAT II,High,4/18/14 21:43,4/18/14 21:48,7/24/14 16:51,10/1/14 5:05,A4220035,2ZKH77012-0002,43
A2UN-1-26624111,Update 2CTV00501-0001 Serial Number for 2BF:0008,DQIM,CAT II,Low,4/22/14 17:36,4/22/14 17:41,5/6/14 16:45,5/28/14 2:30,A3080020,2CTV00501-0001,33
A2UN-1-26624681,Update 2CTV00501-0001 Serial Number for 2BF:0032,DQIM,CAT II,Low,4/22/14 17:42,4/22/14 17:45,6/16/14 15:45,8/20/14 2:39,A3080020,2CTV00501-0001,33
A2UN-1-26635991,"Update 2ZKH45050-0001, Serial Number for 2AF:0041",DQIM,CAT II,Low,4/22/14 19:30,4/22/14 19:33,7/9/14 20:24,9/22/14 6:15,A4822070,2AKH45050-0001,137
A2UN-1-26697301,Update 2GFV00210-0001 Serial Number for 2AF41 (11-5030),DQIM,CAT II,Low,4/23/14 18:59,4/23/14 19:17,7/9/14 20:50,9/22/14 6:15,A2826116,2GFV00210-0001,0
A2UN-1-26739485,"Need EEL Corrected for PN: 2629A4510-7, SN: B0156.  Currently installed on AF16 (09-5003)",DQIM,CAT II,Low,4/24/14 16:42,4/24/14 16:49,7/24/14 15:35,10/1/14 5:05,A3241010,2629A4510-7,0
A2UN-1-26757053,"Serial Number udpate on 2AF:0021/10-5009 for PN: 2ZKH85140-0004, SN: 02078",DQIM,CAT II,Medium,4/24/14 20:10,4/24/14 20:18,7/24/14 16:50,10/1/14 5:05,A4220028,2ZKH85140-0004,2078
A2UN-1-26865531,Update 2WFV00312-0001 Serial Number for 2BF:35 (VM12),DQIM,CAT II,Low,4/28/14 20:29,4/28/14 20:40,6/13/14 20:46,8/20/14 2:21,A2815011,2WFV00312-0001,0
A2UN-1-26866076,Update 2FSH21032-0016 Serial Number for 2BF:35 (VM12),DQIM,CAT II,Low,4/28/14 20:41,4/28/14 20:51,5/8/14 18:39,5/28/14 2:31,A5312324,2FSH21032-0016,0
A2UN-1-26867750,Update 2GFV00103-0003 Serial Number for 2CF:10 (NJ100),DQIM,CAT II,Low,4/28/14 20:56,4/28/14 21:06,5/6/14 19:11,5/28/14 2:32,A2871033,2GFV00103-0003,0
A2UN-1-26887991,(EI) Request to remove BF14's OBOGS Filter for testing at PAX.,Supply Chain,CAT II,Low,4/29/14 13:14,4/29/14 13:24,5/29/14 12:39,5/29/14 12:41,A3541010,3332W000-005,65
A2UN-1-26936481,Update 2GVH00001-0009 Serial Number for 2AF:22 (10-5010),DQIM,CAT II,Low,4/30/14 13:15,4/30/14 13:28,5/1/14 20:28,5/28/14 2:33,A4610015,2GVH00001-0009,0
A2UN-1-26946731,Update 2GFV00201-0004 Serial Number for 2BF:27 (VK07) - A2826011,DQIM,CAT II,Low,4/30/14 15:06,4/30/14 15:22,6/13/14 20:49,8/20/14 2:21,A2826011,2GFV00201-0004,0
A2UN-1-26947558,Update 2GFV00201-0004 Serial Number for 2BF:27 (VK07) - A2826013,DQIM,CAT II,Low,4/30/14 15:23,4/30/14 15:32,6/13/14 20:51,8/20/14 2:20,A2826013,2GFV00201-0004,0
A2UN-1-26948352,Update 2GFV00201-0004 Serial Number for 2BF:27 (VK07) - A2826012,DQIM,CAT II,Low,4/30/14 15:32,4/30/14 15:37,6/13/14 20:50,8/20/14 2:19,A2826012,2GFV00201-0004,0
A2UN-1-26995251,Update 2GFV00602-0112 Serial Number for 2CF:10 (NJ100),DQIM,CAT II,Low,5/1/14 15:26,5/1/14 15:41,5/6/14 19:10,5/28/14 2:34,A2842020,2GFV00602-0112,11
A2UN-1-27115201,Update 2GVH00001-0009 Serial Number for 2AF:27 (10-5015),DQIM,CAT II,Low,5/5/14 19:34,5/5/14 19:52,5/6/14 19:08,5/28/14 2:35,A4610018,2GVH00001-0009,0
